Date Time, Router IP, SSID, Router Connected, Internet Connected
192.168.0.1,CenturyLink5209,True,True
192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:26PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:27PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:29PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:29PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:29PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:30PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:30PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:30PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:30PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:30PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:30PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:31PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:31PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:31PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:31PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:31PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:32PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:32PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:32PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:33PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:34PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:34PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:34PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:34PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:34PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:34PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:35PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:35PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:35PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:35PM PST,192.168.0.1,CenturyLink5209,True,True
10/02/2024 12:35PM PST,192.168.0.1,CenturyLink5209,True,True
5,4,3,2,1
"now, yo",testing this thing,ayy,True,True
